书名,可替换书名,朝代,注,注2,作者
抚浙奏疏,,清,,,廖寿丰
抚浙疏草,,清,,,朱昌祚
抚浙疏稿,,,,,
改天主堂为天后官碑记,,清,,增,李卫
更生斋文集,,清,,,洪亮吉
攻愧集,,宋,,,楼钥
诂经精舍课艺,,,,,
诂经精舍续集,,清,,,虞文俊
谷响集,,元,释,,善住
过杭郡名宦乡贤祠记,（石刻）,清,,增,纳兰常安
护抚疏稿,,,,,刘树堂
怀古田舍诗钞,,,,,徐荣
怀兰室诗,,,,,汪焜
怀麓堂集,,明,,,李东阳
矶渔诗集,,清,,,卢文弨
鸡肋编,,宋,,,庄季裕
即庵诗存,,清,,,曾灿恒
汲古堂诗稿,,,,,李元烺
劫梦泪谈,,清,,,吴绍箕
戒杀放生文,,,,减,
戒杀弭劫编,,,,,
快堂集,,,,减,冯开之
快雪堂日记,,明,,,冯梦桢
快雪堂文集,,明,,,冯梦桢
快雪堂漫录,,明,,,冯梦桢
旷园杂志,,清,,,吴宝崖
来鹊山房诗稿,,清,,,张炳
冷庐杂识,冷庐杂志、冷庐续志,清,,,陆以湉
冷庐医话,,清,,,陆以湉
冷庐诗钞,,清,,,陆以湉
冷庐臆言,,清,,,陆以湉
冷香斋诗钞,,清,,,陈杞
李堂挽诗,,,,减,
李草阁诗集,李草阁集,明,,,李晔
里居杂诗,,清,,,李樟
里居杂诗注,,清,,减,李樟
两当轩集,,清,,,黄景仁
两间草堂诗文集,,清,,,徐林鸿
两般秋雨庵诗选,,清,,,梁绍壬
两般秋雨庵诗稿,,清,,,梁绍壬
两般秋雨庵随笔,,清,,,梁绍壬
两峰楼集,,清,,,张振孙
两浙名贤录,两浙名贤外录,明,,,徐象梅
两浙防护录,,,,,
两浙防护祠墓陵寝录,,清,,减,阮元
两浙金石志,,清,,,阮元
两浙校官诗录,,,,,
两浙盐法志,,,,,
两浙輶轩录,两浙輶轩续录,清,,,阮元
两朝纲目备要,,宋,,,佚名
两湖塵谈,,,,,
两溪文集,,明,,,刘球
灵石山房稿,,清,,,施绍武
灵应大帝化书实事,,,,,张邦济
灵岩集,,宋,,,唐士耻
灵芬馆诗,,清,,,郭麐
灵芬馆诗话,,清,,,郭麐
庐山集,,,,,
庐陵县志,,清,,,李寅清
妙法莲华经注,,,,,
妙明书屋遗集,妙明书屋诗,清,,,金焜
妙香诗钞,,,释,,汉兆
妙峰遗稿,,清,,,张世荦
牡丹诗,,清,,减,丁文蘅
牡丹诗草行本,,清,,,丁文蘅
启运录,,,,,陈建明
求是堂诗集,,,,,胡承珙
沙河逸老小稿,,清,,,马日琯
沈氏宗谱,,,,,
沈文忠公自订年谱,文忠公自订年谱,清,,,沈兆霖
沈文忠公集,文忠公集,清,,,沈兆霖
沈赤然自编年谱,沈梅村赤然自订年谱,,,,沈梅村
寿松堂孙氏珍藏金石录,,清,,,孙仰曾
寿松堂诗话,,,,,徐来泰
